StampID;ArtifactID;StampPosition;StampPreservation;StampPreservationComment;StampReliefType;StampContentType;StampShapeType;StampAxisLarge;StampAxisSmall;StampOriginType;StampNameMagist;StampNameFabric;StampLegend;StampLegendComment;StampEmblem;StampDateText;StampDateEarly;StampDateLate;StampGroupFinkelstein;StampGroupGarlan;XImageLink300px;XImageLink1000px;ZImageLink300px;ZImageLink1000px;GImageLink300px;GImageLink1000px;StampComment;StampPublished
11;11;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;25;10;;;;ΒΙΩΝ;;нет;III-II вв. до н.э.;-300;-100;;;SF0131;SF0131;;;;;Буква «ню» ретроградна.;
12;12;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;35;15;;;;ΑΚΟΥΠΟ;;палица вправо;III-II вв. до н.э.;-300;-100;;;SF0325;SF0325;;;;;;
13;13;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;29;16;;;;"ΕΠΙ[......] [............]";;нет;Вторая половина III в. до н.э.;-250;-200;;;SF0329;SF0329;;;;;;
14;14;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;31;15;;;;"ΠΑΝΑΜ[ΟΥ ] ΔΕΥΤΕΙΡΙΟΥ";;нет;Середина III в. до н.э.;-260;-230;;;SF0200;SF0200;;;;;Клеймо с обозначением месяца родосского календаря.;
15;15;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;20;10;;;;нет;;часть эмблемы (?);Вторая половина IV – середина III вв. до н.э.;-350;-230;;;SF0330;SF0330;;;;;;
16;16;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;48;23;;;;"[Χ]ΑΒΡΙΑ ΑΣΤΥΝΟ [ΦΙ]ΛΟΚΡΑ";;венок и канфар (?);345-335 гг. до н.э.;-345;-355;;II-А;SF0202;SF0202;;;;;Клеймо астинома Хабрия. 345-335 гг. до н.э. по Н. Ф. Федосееву.;
17;17;ручка;неполная;фото;позитивное;анэпиграфное;подпрямоугольное;16;14;;;;нет;;часть эмблемы (?);Конец V – начало IV вв. до н.э.;-425;-375;;;SF0331;SF0331;;;;;;
18;18;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;42;21;;;;"ΙΣΤΙΑΙΟ[Υ] ΑΣΤΥΝΟΜ[ΟΥ] ΓΛΑΥΚΙ[Α]";;канфар;Около 300 г. до н.э.;-310;-260;;V МГ(А);SF0201;SF0201;;;;;"V МГ(А) — по И. Гарлану. Около 300 г. до н.э. - по Н.Ф. Федосееву.";
19;19;горло;неполная;фото;негативное;эпиграфное;подпрямоугольное;18;16;;;;"ΜΙΚ[ΚΟΣ] ΠΙ[...........]";;нет;60-20 гг. IV в. до н.э.;-370;-320;;;SF0332;SF0332;;;;;"Имя эпонима не определяется. Имя в первой строке- фабриканта Микка-II.  60-20 гг. IV в. до н.э. по С.Ю. Монахову .";
20;20;горло;полная;фото;негативное;эпиграфное;подпрямоугольное;39;19;;;;"ΔΗΜΗ  ΤΡΙΟΥ";;нет;10-е гг. IV в. до н.э.;-320;-310;;;SF0192;SF0192;;;;;V МГ по Кацу В.И. 10-е гг. IV в. до н.э.;
21;21;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;27;18;фабрикантское;;;"ΚΡΕΟΝ ΤΟΣ";;нет;234-199 гг. до н.э.;-234;-199;II;;SF0195;SF0195;;;;;;
22;22;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;35;16;фабрикантское;;;ΑΡΙΣΤΙΩΝΟΣ;;нет;234-199 гг. до н.э.;-234;-199;II-III;;SF0208;SF0208;;;;;"II-III хронологическая группа по  Г. Финкильштейну. 234-199 гг. до н.э. Конец III в. до н.э. по Шелову Д.Б.";
23;23;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;20;12;;;;"ΕΠΙ Α[…....] […..............]";;нет;III в. до н.э.;-300;-200;;;SF0333;SF0333;;;;;;
24;24;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;33;13;;;;ΚΟΙΡΟΥ;;нет;III-II вв. до н.э.;-300;-100;;;SF0146;SF0146;;;;;;
25;25;ручка;полная;фото;позитивное;эпиграфное;овальное;33;18;;;;"[…...]ΥΛΙ.. [….....]Τ..";;нет;III-II вв. до н.э.;-300;-100;;;SF0334;SF0334;;;;;;
26;26;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;29;12;;;;ΙΦΑΝ[..];;нет;III-II вв. до н.э.;-300;-100;;;SF0335;SF0335;;;;;;
27;27;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;30;23;;;;не определяется;;нет;IV-II вв. до н.э.;-400;-100;;;SF0336;SF0336;;;;;;
28;28;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;44;10;;;;ΑΔΑΙΟΥ;;цветок;III-II вв. до н.э.;-300;-100;;;SF0196;SF0196;;;;;;
29;29;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;25;21;;;;"[ΑΡΙΣΤΟΒΟ]ΥΛΟ  [ΑΣΤΥΝΟ] [ΠΟΣΕΙΔ]Ω";;цветок и голова Гермеса вправо;340-330 гг. до н.э.;-340;-330;;III МГ(С);SF0194;SF0194;;;;;"III МГ(С) по И. Гарлану. 340-330 гг. до н.э. по Н.Ф. Федосееву.";
30;30;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;48;18;;;;"Ε[ΠΙ] ΑΝΑΞΑΝ ΔΡΟ[Υ Δ]Ε[Υ]ΤΕ[ΡΟΥ] ΠΑΝΑΜΟ[Υ]";;нет;145-133 гг. до н.э.;-145;-133;V(a);;SF0206;SF0206;;;;;"Клеймо эпонимное с указанием месяца. Хр. группа V(a) по Г. Финкильштейну. 145-133 гг. до н.э.";
31;31;горло;неполная;фото;негативное;эпиграфное;подпрямоугольное;32;24;;;;"[......]ΙΥ [.......]ΜΟΥ";;нет;Вторая половина IV в. до н.э.;;;;;SF0207;SF0207;;;;;;
32;32;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;20;16;;;;"[ΕΠΙ ΑΝ]ΑΞΙΒΟΥ[ΛΟΥ] [ΥΑΚΙ]ΝΘΙ[ΟΥ]";;нет;145-133 гг. до н.э.;-145;-133;V(а);;SF0210;SF0210;;;;;"145-133 гг. до н.э. V(а) хр. гр. по Г. Финкильштейну.";
33;33;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;26;18;;;;"ΚΡΕ ΟΝΤΟ[Σ]";;нет;234-199гг. до н.э.;-234;-199;ΙΙ;;SF0218;SF0218;;;;;"ΙΙ хр. гр. по Г. Финкильштейну -  234-199гг. до н.э.";
34;34;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;38;18;;;;"ΑΣΤΥΝΟΜΟΥΝ ΤΟΣ.ΝΙΚΑΣΙΤΙ ΜΟΥ.ΤΟΥ.ΠΡ[Υ] ΤΑΝΙΟΣ";;нет;200-180 гг. до н.э.;-200;-180;;;SF0203;SF0203;;;;;Хр. гр.- 3(в) по В.И. Кацу.;
35;35;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;15;13;;;;"ΑΡΙ ΣTI[.]";;нет;Первая половина III в. до н.э.;;;;;SF0230;SF0230;;;;;;
36;36;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;53;18;;;;"ΑΣΤΥΝΟΜΟΥ ΠΟΣΙΔΕΙΟΥ ΤΟΥ ΘΕΑΡΙΩΝΟΣ ΔΗΜΗΤΡΙΟΣ";;Геракл. облокотившийся на колонну с рогом изобилия в левой руке;240-230 гг. до н.э.;-250;-230;;;SF0198;SF0198;;;;;240-230 гг. до н.э. по Н.Ф. Федосееву.;
37;37;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;47;14;;;;"ΕΠΙ ΠΥΘΟΔΩ ΡΟΥ ΥΑΚΙΝΘΙΟΥ";;нет;152-146гг. до н.э.;-152;-146;IV(b);;SF0226;SF0226;;;;;Клеймо эпонимное с указанием месяца. IV(b) хронологическая группа по Г. Финкильштейну. 152-146гг. до н.э.;
38;38;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;56;18;;;;"ΜΝΗΣΙΟΣ ΑΣΤΥΝΟΜΟ ΔΕΛΦΙΝΙΟ";;голова барана;362-350гг. до н.э.;-362;-350;;II МГ(А);SF0209;SF0209;;;;;"II МГ(А)- по И. Гарлану  362-350гг. до н.э. по Федосееву Н. Ф.";
39;39;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;38;22;;;;[.....ΑΣΤΥΝΟ]ΜΟΥΝ/ΤΟΣ[...];;гроздь винограда и канфар;Середина- вторая половина IV в. до н.э.;;;;;SF0204;SF0204;;;;;Сохранилась только часть обозначения магистратуры в причастной форме. имя астинома не определяется.;
40;40;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;35;20;;;;"[ΑΣΤΥΝΟΜΟΥΝΤΟΣ] Π[ΟΣ]ΙΟΣ [ΤΟΥ] ΑΣ[Τ]ΙΟ[Υ] ΗΡΑΚΛΕ[ΙΔΗΣ]";;нет;230-220 гг. до н.э.;-240;-220;;;SF0315;SF0315;;;;;"VI МГ(Д)- по И. Гарлану 230-220 гг. до н.э. по Н.Ф.Федосееву";
41;41;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;33;9;фабрикантское;;;"Α[ΙΝ]ΕΑΣ […..]";;нет;198-161 гг. до н.э.;-198;-161;III;;SF0222;SF0222;;;;;"III хр. группа по Г. Финкильштейну.  198-161 гг. до н.э.";
42;42;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;12;12;;;;[........]Α;;нет;Середина III в. до н.э.;;;;;SF0337;SF0337;;;;;;
43;43;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;66;15;;;;"ΠΡΩ[Τ]ΑΓΟ[ΡΟ]  ΑΣΤΥΝΟ [......]";;часть эмблемы (?);360-350 гг. до н.э.;-370;-350;;II(А);SF0142;SF0142;;;;;"Клеймо астинома Протагора-I  II(А)-хр. группа по И. Гарлану.  360-350 гг. до н.э. по Н.Ф. Федосееву";
44;44;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;28;16;фабрикантское;;;ΜΕΝΕΚ[Ρ]ΑΤ[ΕΥ]Σ;;нет;198-146гг. до н.э.;-198;-146;III/IV;;SF0129;SF0129;;;;;III/IV хр. группа по Г. Финкильштейну. 198-146гг. до н.э.;
45;45;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;40;19;;;;"ΕΠΙ ΑΘΑΝΟ ΔΟΤΟΥ ΚΑΡΝΕΙΟΥ";;восьмилучевая звезда;Около 170/168 гг. до н.э.;-170;-168;III(d);;SF0221;SF0221;;;;;Клеймо эпонимное с указанием месяца. III(d)-хр. группа по Г. Финкильштейну.;
46;46;ручка;полная;фото;позитивное;эпиграфное;округлое;26;23;фабрикантское;;;[ΣΩ]ΤΗΡΙΧΟΣ;;орел на молниях;234-199 гг. до н.э.;-234;-199;II;;SF0236;SF0236;;;;;"II хр. группа по Г. Финкильштейну  234-199 гг. до н.э.";
47;47;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;38;15;фабрикантское;;;ΣΩΚ[Ρ]ΑΤΕΥΣ;;факел;198-161 гг. до н.э.;-198;-161;III;;SF0212;SF0212;;;;;III-хр. группа по Г. Финкильштейну. 198-161 гг. до н.э.;
48;48;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;24;20;;;;"[ΘΑΣΙ]ΩΝ [........]ΑΣ";;часть эмблемы (?);Вторая половина IV в. до н.э.;-400;-350;;;SF0338;SF0338;;;;;;
49;49;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;37;15;фабрикантское;;;ΚΟΣΜΟΥ;;нет;198-161 гг. до н.э.;-198;-161;III;;SF0227;SF0227;;;;;III хр. группа по Г. Финкильштейну. 198-161 гг. до н.э.;
50;50;горло;неполная;фото;негативное;эпиграфное;подпрямоугольное;24;18;;;;"[......]ΩΡΙ [ΑΛΚΕ]ΤΑΣ";;нет;80-70 гг. IVв. до н.э.;-390;-370;;;SF0224;SF0224;;;;;II МГ- по В.И. Кацу. 80-70 гг. IVв. до н.э.;
51;51;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;54;19;;;;"[ΠΟ]ΣΕΙΔΩΝΙΟ [ΑΣ]ΤΥΝΟ [ΗΦ]ΑΙΣΤΙΟ";;свернувшаяся змея;320-315 гг. до н.э.;-320;-315;;III(А);SF0339;SF0339;;;;;"Клеймо астинома Посидония (4).   Хр. группа III(А) по И. Гарлану   320-315 гг. до н.э. по Н.Ф. Федосееву.";
52;52;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;34;15;;;;"ΕΠΙ ΘΑΡСΙ ΠΟΛΙΟС";;нет;198-190 гг. до н.э.;-198;-190;III(а);;SF0238;SF0238;;;;;"Сигмы лунарные.  III(а) хр. группа по Г. Финкильштейну - 198-190 гг. до н.э.";
53;53;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;27;7;;;;ФАNΙ[…];;нет;III-II вв. до н.э.;-300;-100;;;SF0139;SF0139;;;;;"Группа «Никандра». Эфес(?) III-II вв. до н.э.";
54;54;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;37;14;;;;Е[…];;нет;Середина-вторая половина II в. до н.э.;-200;-130;;;SF0340;SF0340;;;;;;
55;55;ручка;неполная;фото;позитивное;эпиграфное;округлое;21;20;;;;не определяется;;цветок граната;Середина – вторая половина III в. до н.э.;-300;-230;;;SF0232;SF0232;;;;;;
56;56;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;33;24;;;;"ΘΑΣΙΩΝ [ΑΡΙ]ΣΤΟΔΙΚΟ[Υ].";;ваза с волютовидными ручками;294-287 гг. до н.э.;-294;-287;;VII/13;SF0220;SF0220;;;;;VII/13 хр. группа по И.Гарлану - 294-287 гг. до н.э.;
57;57;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;28;12;фабрикантское;;;AINEAΣ.;;нет;198-161 гг. до н.э.;-198;-161;III;;SF0225;SF0225;;;;;"III хр. группа по Г. Финкильштейну 198-161 гг. до н.э.";
58;58;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;54;23;;;;"ΕΠΙΕΛΠΟ[Υ]  ΑΣΤΥΝΟ [ΘΕ]ΥΔΩΡΟ";;цветок;350-340 гг. до н.э.;-360;-340;;II(c);SF0128;SF0128;;;;;"Хр. группа II(c) - по И. Гарлану. 350-340 гг. до н.э. по Н.Ф. Федосееву.";
59;59;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;37;13;фабрикантское;;;TI[ΜΑΡΑΤ]OY;;нет;145-108 гг. до н.э.;-145;-108;V;;SF0233;SF0233;;;;;"V хр. группа по Г. Финкильштейну 145-108 гг. до н.э.";
60;60;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;30;15;;;;"АГРIA NIOY";;кадуцей;Вторая половина III – начало II вв. до н.э.;-300;-100;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0124X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0124X.png;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0124Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0124Z.png;;;Клеймо с названием месяца родосского календаря.;
61;61;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;32;15;;;;"ΕΠΙ [Ξ]Ε[Ν]ΑΡΕΤΟΥ ΑΓΡΙΑΝΙΟΥ";;нет;234-220 гг. до н.э.;-234;-220;ΙΙ(а);;SF0229;SF0229;;;;;"Клеймо эпонимное с указанием месяца. ΙΙ(а) хр. группа по Г.Финкильштейну. 234-220 гг. до н.э.";
62;62;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;51;17;;;;"ΦΙΛΑΜ[ΠΕΛΟΥ] Α[ΡΙС]ΤΟΓ[Η]Ν[Ε]ΥС";;Трезубец;255/50-215 гг. до н.э.;-255;-215;;;SF0143;SF0143;;;;;"Клеймо ретроградное.  Эпсилон и сигмы лунарные. III хр. группа по Н.В. Ефремову 255/50-215 гг. до н.э.";
63;63;ручка;неполная;фото;позитивное;эпиграфное;овальное;17;13;;;;"ТI [МΑР].";;нет;294-271 гг. до н.э.;-294;-271;I(а);;SF0215;SF0215;;;;;"Имя в сокращении. I(а) хр. группа по Г.Финкильштейну. 294-271 гг. до н.э.";
64;64;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;44;13;фабрикантское;;;"ΑΓΟΡ[ΑΝΑΚΤΟΣ] [……….]ΙΟ[Υ]";;нет;234-161 гг. до н.э.;-234;-161;II/III;;SF0214;SF0214;;;;;"Клеймо фабрикантское с указанием месяца.  II/III хр. группа по Г. Финкильштейну 234-161 гг. до н.э.";
65;65;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;28;21;;;;"ΘΑΣΙΩΝ [ΑΛΚΕ]ΙΔΗ[Σ]";;восьмилучевая звезда;315-309 гг. до н.э.;-315;-309;;IV/10;SF0234;SF0234;;;;;IV/10 хр. группа по И. Гарлану. 315-309 гг. до н.э.;
66;66;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;59;22;;;;"ΑΡΙΣΤΟΦΑΝ[ΕΟΣ] ΑΣΤΥΝΟ ΧΑΒΡΙΑ";;голова льва в фас и морской конёк(?);340-330 гг. до н.э.;-340;-330;;III(А);SF0211;SF0211;;;;;"III(А)-хр. группа по И. Гарлану 340-330 гг. до н.э. по Н.Ф. Федосееву";
67;67;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;36;19;;;;"ΕΠΙ ΞΕΝΟΦΑ (Ν)ΤΟΥ ΑΡΤΕΤ  Справа дифферент в виде «мю» и «ро» в лигатуре.";;нет;152-146 гг. до н.э.;-150;-146;IV(b);;SF0237;SF0237;;;;;"Эсилоны лунарные. Буква во второй строке пропущена резчиком.  IV(b) хр. группа по Г. Финкильштейну - 152-146 гг. до н.э.";
68;68;ручка;полная;фото;позитивное;эпиграфное;листовидное;33;28;;;;"[...]ΠΙΓ[...]  [.........](?)";;нет;Вторая половина III в. до н.э.;-300;-250;;;SF0133;SF0133;;;;;;
69;69;ручка;неполная;фото;позитивное;эпиграфное;округлое;33;26;;;;"ΕΠΙ ΕΞΑΚΕСΤΟ[Υ.?] [Ζ]ΕΝωΝΟС вокруг монограммы – буквы альфа. ро и ламбда в лигатуре";;нет;234-220 гг. до н.э.;-234;-220;II(а);;SF0219;SF0219;;;;;"Сигмы лунарные. омега прописная II(а) хр. группа по Г.Финкильштейну – 234-220 гг. до н.э.";
70;70;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;31;14;;;;"ΕΠ[Ι] ΞΕΝΟ ΦΑ[Ν]ΕΥC";;нет;Около 189 г. до н.э.;-190;-188;III(b);;SF0172;SF0172;;;;;"Сигма лунарная.  III(b) хронологическая группа по Г. Финкильштейну. Около 189 г. до н.э.";
71;71;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;53;11;;;;[ΘΕ]ΟΔωΡΟΥ;;нет;III-II вв. до н.э.;-300;-100;;;SF0180;SF0180;;;;;"Омега прописная.  III-II вв. до н.э.";
72;72;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;51;18;;;;"ΛΕΩΚΡΙΤΟΥ  [ΑΣ]ΤΥΝΟ  [….]";;факел и ойнохойя;340-330 гг. до н.э.;-340;-330;;III (А) МГ;SF0177;SF0177;;;;;"III (А) МГ группа - по И.Гарлану.  340-330 гг. до н.э. - по Н.Ф Федосееву.";
73;73;горло;неполная;фото;негативное;эпиграфное;подпрямоугольное;33;21;;;;"ΣΩ ΤΗΡ";;нет;90-е гг. IVв. до н.э.;-400;-390;;;SF0193;SF0193;;;;;Ретроградное клеймо. 90-е гг. IVв. до н.э. по В.И. Кацу.;
74;74;горло;полная;фото;негативное;анэпиграфное;без рамки;24;7;;;;нет;;нет;V в. до н.э.;-500;-400;;;SF0178;SF0178;;;;;;
75;75;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;25;13;;;;"Δ[....]Υ  [.......]Σ";;нет;III-II вв. до н.э.;;;;;SF0341;SF0341;;;;;III-II вв. до н.э.;
76;76;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;26;9;;;;[.]ΟΡ;;часть эмблемы (?);III-II вв. до н.э.;-300;-100;;;SF0179;SF0179;;;;;;
77;77;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;18;13;;;;"ΕΠΙ.ΤΙ ΜΟ[Κ]Λ ΕΙΔΑ";;нет;Около 220г. до н.э.;-221;-219;II (а);;SF0175;SF0175;;;;;"Эпсилон прописная. II (а) хронологическая группа по Г. Финкильштейну. Около 220г. до н.э.";
78;78;ручка;неполная;фото;негативное;эпиграфное;подпрямоугольное;13;11;;;;Е;;нет;Середина-третья четверть IV в. до н.э.;-375;-330;;;SF0176;SF0176;;;;;;
79;79;горло;неполная;фото;позитивное;эпиграфное;подпрямоугольное;15;14;;;;монограммы части буквы «мю». «альфа» и «ламбда» в лигатуре.;;нет;Вторая четверть- середина Vв. до н.э.;-460;-425;;;SF0174;SF0174;;;;;Горло милетской амфоры классического типа «ольвийского варианта» II-А по П. Дюпону.;
80;80;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;32;22;;;;"ΔΙΟΦΑΝ/[ΤΟΥ ΑΣΤΥΝ/ΟΜΟΥΝ/ ΤΟΣ ...........]";;гроздь винограда;Около 361 г. до н.э.;-362;-360;;I МГ (Д);SF0321;SF0321;;;;;I МГ (Д) по И. Гарлану. Около 361 г. до н.э. по Н.Ф. Федосееву.;
81;81;горло;неполная;фото;негативное;эпиграфное;без рамки;34;9;;;;[..]ΜΟΔΟ;;нет;Середина-конец IV в. до н.э.;-400;-350;;;SF0127;SF0127;;;;;Клеймо фрагментировано. не определяется.;
82;82;горло;неполная;фото;негативное;эпиграфное;без рамки;10;9;;;;Μ[..];;нет;IV в. до н.э.;-400;-300;;;SF0342;SF0342;;;;;Сохранилась только буква «мю» и небольшая часть верхней гасты следующей буквы. Клеймо фрагментировано. не определяется.;
83;83;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;26;13;фабрикантское;;;"ΧΑΡΗΤΟ[Σ] ΒΑΔΡΟΜΙΟΣ";;трезубец вправо;294-199 гг. до н.э.;-294;-199;I/II;;SF0314;SF0314;;;;;"Клеймо фабрикантское с указанием месяца.  I/II хр. группы по Г. Финкильштейну: 294-199 гг. до н.э.  Первая половина III в. до н.э. по Д. Б. Шелову.";
84;84;ручка;полная;фото;позитивное;эпиграфное;без рамки;23;18;;;;А;;нет;Середина IV в. до н.э.;-360;-330;;;SF0312;SF0312;;;;;Середина IV в. до н.э. Тип В. К. Келер.;
85;85;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;40;18;фабрикантское;;;ΣΩΚΡΑΤΕΥΣ;;факел;198-161 гг. до н.э.;-198;-161;III;;SF0317;SF0317;;;;;III хр. группа по Г. Финкильштейну. 198-161 гг. до н.э.;
86;86;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;32;15;;;;"ΕΠΙ ΣΩ ΣΤΡΑΤΟΥ";;голова Гелиоса;198-190 гг. до н.э.;-198;-190;III (а);;SF0137;SF0137;;;;;III (а) хр. группа по Г. Финкильштейну. 198-190 гг. до н.э.;
87;87;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;30;16;;;;"Ε[..] [...]";;восьмилучевая звезда;Последняя четверть III – II вв. до н.э.;-225;-100;;;SF0343;SF0343;;;;;"Клеймо повреждено. не читается. Сохранилась только эмблема – восьмилучевая звезда слева и верхняя часть буквы «эпсилон».  Последняя четверть III – II вв. до н.э.";
